,FF,U-3,CPI_%_Change,M2_%_Change,GDP_%_Change
1960-01-01,3.99,5.2,1.24,4.05,4.93
1960-02-01,3.96,4.8,1.41,3.72,4.93
1960-03-01,3.86,5.4,1.52,3.49,4.93
1960-04-01,3.91,5.2,1.93,3.45,2.06
1960-05-01,3.92,5.1,1.83,2.98,2.06
1960-06-01,3.36,5.4,1.72,2.79,2.06
1960-07-01,3.23,5.5,1.37,3.01,2.49
1960-08-01,3.01,5.6,1.47,3.54,2.49
1960-09-01,2.57,5.5,1.23,3.94,2.49
1960-10-01,2.45,6.1,1.36,4.38,0.88
1960-11-01,2.49,6.1,1.47,4.64,0.88
1960-12-01,1.88,6.6,1.36,4.9,0.88
1961-01-01,1.68,6.6,1.6,5.33,-0.67
1961-02-01,2.24,6.9,1.46,6.07,-0.67
1961-03-01,2.11,6.9,1.46,6.35,-0.67
1961-04-01,1.67,7.0,0.91,6.6,1.56
1961-05-01,1.82,7.1,0.91,7.08,1.56
1961-06-01,1.74,6.9,0.78,7.28,1.56
1961-07-01,1.11,7.0,1.25,7.07,3.01
1961-08-01,1.96,6.6,1.11,6.74,3.01
1961-09-01,1.87,6.7,1.25,6.84,3.01
1961-10-01,2.27,6.5,0.77,6.98,6.4
1961-11-01,2.54,6.1,0.67,7.24,6.4
1961-12-01,2.27,6.0,0.67,7.39,6.4
1962-01-01,2.2,5.8,0.67,7.45,7.57
1962-02-01,2.37,5.5,0.9,7.46,7.57
1962-03-01,2.86,5.6,1.11,7.79,7.57
1962-04-01,2.82,5.6,1.34,8.0,6.73
1962-05-01,2.38,5.5,1.34,7.85,6.73
1962-06-01,2.67,5.5,1.24,7.71,6.73
1962-07-01,2.72,5.4,1.0,7.74,6.0
1962-08-01,2.89,5.7,1.14,7.69,6.0
1962-09-01,2.91,5.6,1.47,7.71,6.0
1962-10-01,2.89,5.4,1.33,7.88,4.31
1962-11-01,2.96,5.7,1.33,7.92,4.31
1962-12-01,2.91,5.5,1.23,8.11,4.31
1963-01-01,2.93,5.7,1.33,8.21,3.6
1963-02-01,3.0,5.9,1.23,8.17,3.6
1963-03-01,2.98,5.7,1.13,8.04,3.6
1963-04-01,2.91,5.7,0.89,8.05,3.82
1963-05-01,2.99,5.9,0.89,8.23,3.82
1963-06-01,2.99,5.6,1.32,8.33,3.82
1963-07-01,3.01,5.6,1.56,8.64,4.82
1963-08-01,3.49,5.4,1.55,8.73,4.82
1963-09-01,3.48,5.5,0.99,8.76,4.82
1963-10-01,3.5,5.5,1.22,8.71,5.16
1963-11-01,3.48,5.7,1.32,8.81,5.16
1963-12-01,3.37,5.5,1.65,8.41,5.16
1964-01-01,3.48,5.6,1.64,8.21,6.22
1964-02-01,3.48,5.4,1.41,8.07,6.22
1964-03-01,3.42,5.4,1.41,7.85,6.22
1964-04-01,3.47,5.3,1.54,7.61,6.18
1964-05-01,3.5,5.1,1.54,7.47,6.18
1964-06-01,3.5,5.2,1.31,7.58,6.18
1964-07-01,3.43,4.9,1.08,7.61,5.52
1964-08-01,3.5,5.0,0.98,7.77,5.52
1964-09-01,3.46,5.1,1.17,8.01,5.52
1964-10-01,3.34,5.1,1.2,7.93,5.16
1964-11-01,3.48,4.8,1.4,7.79,5.16
1964-12-01,3.82,5.0,1.2,8.01,5.16
1965-01-01,3.89,4.9,1.1,8.17,5.48
1965-02-01,3.98,5.1,1.2,8.25,5.48
1965-03-01,4.04,4.7,1.2,8.35,5.48
1965-04-01,4.09,4.8,1.39,8.39,5.66
1965-05-01,4.1,4.6,1.61,8.14,5.66
1965-06-01,4.06,4.6,1.93,8.11,5.66
1965-07-01,4.09,4.4,1.81,8.0,6.35
1965-08-01,4.13,4.4,1.61,7.84,6.35
1965-09-01,4.03,4.3,1.74,7.82,6.35
1965-10-01,4.08,4.2,1.7,7.99,8.46
1965-11-01,4.1,4.1,1.73,7.99,8.46
1965-12-01,4.27,4.0,1.92,8.12,8.46
1966-01-01,4.41,4.0,1.92,8.07,8.48
1966-02-01,4.6,3.8,2.56,7.95,8.48
1966-03-01,4.65,3.8,2.78,7.85,8.48
1966-04-01,4.68,3.8,2.87,7.79,7.49
1966-05-01,4.84,3.9,2.76,7.55,7.49
1966-06-01,5.14,3.8,2.44,7.07,7.49
1966-07-01,5.24,3.8,2.75,6.32,6.04
1966-08-01,5.56,3.8,3.49,6.01,6.04
1966-09-01,5.38,3.7,3.57,5.76,6.04
1966-10-01,5.51,3.7,3.79,5.1,4.51
